时间,负荷值
1,174.386
2,167.047
3,153.378
4,158.485
5,160.646
6,151.398
7,168.667
8,173.284
9,179.938
10,164.388
11,152.527
12,148.375
13,139.156
14,132.906
15,147.16
16,151.069
17,162.612
18,175.211
19,189.466
20,180.737
21,173.877
22,168.71
23,155.235
24,150.568
25,160.616
26,158.544
27,146.897
28,150.162
29,153.882
30,160.21
31,176.437
32,194.845
33,229.75
34,236.756
35,224.602
36,222.052
37,189.607
38,182.975
39,206.237
40,222.854
41,218.899
42,217.347
43,214.329
44,210.93
45,197.951
46,190.303
47,172.967
48,165.894
49,176.97
50,170.372
51,163.051
52,165.282
53,165.391
54,160.702
55,176.183
56,189.965
57,224.413
58,226.667
59,208.624
60,195.717
61,173.764
62,195.566
63,214.608
64,235.397
65,237.045
66,242.81
67,253.577
68,246.697
69,237.146
70,225.715
71,204.762
72,192.955
73,202.581
74,195.852
75,194.991
76,184.14
77,195.498
78,202.845
79,219.965
80,245.473
81,262.152
82,272.542
83,275.235
84,273.594
85,257.005
86,257.121
87,274.401
88,271.735
89,272.171
90,265.204
91,265.746
92,243.709
93,241.711
94,224.502
95,206.297
96,198.74
97,209.753
98,212.288
99,202.91
100,207.747
101,197.433
102,208.232
103,216.201
104,220.141
105,254.501
106,249.876
107,231.767
108,222.168
109,197.901
110,196
111,225.902
112,219.39
113,246.24
114,251.383
115,263.478
116,240.626
117,232.573
118,231.929
119,219.453
120,199.787
121,202.852
122,195.387
123,196.533
124,188.264
125,189.092
126,185.056
127,199.983
128,207.247
129,249.175
130,247.294
131,231.621
132,224.039
133,195.319
134,198.508
135,218.161
136,240.499
137,264.229
138,265.636
139,273.171
140,256.588
141,251.472
142,240.645
143,217.417
144,209.488
145,223.617
146,221.217
147,206.732
148,205.495
149,207.277
150,209.523
151,212.737
152,212.437
153,254.464
154,260.731
155,250.751
156,252.391
157,229.458
158,228.152
159,251.024
160,254.264
161,266.831
162,267.241
163,263.318
164,250.355
165,243.824
166,225.61
167,207.752
168,206.169
169,212.405
170,207.949
171,204.779
172,195.803
173,189.125
174,189.915
175,229.383
176,214.338
177,259.008
178,263.571
179,236.238
180,212.065
181,185.241
182,181.55
183,207.492
184,217.889
185,227.581
186,226.312
187,232.702
188,222.337
189,211.77
190,200.12
191,185.574
192,175.206
193,186.121
194,177.821
195,176.921
196,179.398
197,184.925
198,187.562
199,200.247
200,220.147
201,250.938
202,241.152
203,218.725
204,203.125
205,170.999
206,177.302
207,196.497
208,199.144
209,214.92
210,219.267
211,230.91
212,219.3
213,217.097
214,210
215,190.841
216,189.06
217,183.815
218,185.334
219,179.61
220,192.991
221,187.801
222,192.877
223,193.728
224,209.966
225,227.927
226,239.468
227,217.486
228,204.676
229,177.498
230,184.4
231,202.707
232,214.817
233,231.745
234,231.632
235,258.246
236,268.912
237,257.191
238,235.018
239,221.507
240,213.306
241,204.553
242,211.815
243,177.608
244,188.662
245,180.388
246,184.188
247,196.337
248,211.208
249,228.646
250,235.426
251,221.024
252,210.915
253,176.664
254,183.429
255,209.567
256,226.848
257,233.216
258,241.197
259,251.712
260,237.528
261,236.978
262,244.89
263,226.212
264,202.656
265,196.704
266,190.393
267,188.836
268,198.093
269,198.615
